ID,X_COORD,Y_COORD,XX,YY,USO,13_02_04,20_02_04,02_03_04,05_03_04,12_03_04,17_03_04,26_03_04,02_04_04,07_04_04,22_04_04,27_04_04,10_05_04,20_05_04,31_05_04
38,5.892,-30.860,284595.913,4777219.355,interno,27.40,35.10,39.30,29.80,28.80,30.90,31.20,28.50,20.70,26.30,28.10,35.10,19.00,17.20
39,15.874,-30.171,284590.711,4777227.902,interno,33.10,38.00,38.20,32.70,36.90,30.80,38.00,35.80,28.10,28.60,28.60,34.40,23.80,20.40
40,25.398,-29.483,284585.720,4777236.041,interno,29.00,42.00,34.00,30.90,35.80,28.30,36.00,33.50,30.40,29.00,27.60,37.80,27.10,21.70
41,34.807,-28.336,284580.374,4777243.868,interno,30.00,41.30,37.10,35.90,37.80,30.20,29.40,33.10,29.20,29.10,31.10,37.50,20.20,18.70
42,39.396,-36.712,284585.700,4777251.796,interno,25.10,36.00,32.80,25.10,33.70,27.20,25.70,29.10,28.40,28.10,28.60,31.90,24.20,15.60
43,31.020,-38.662,284591.284,4777245.256,interno,23.60,38.50,29.10,31.60,28.60,25.10,31.90,28.50,30.30,28.00,28.10,35.00,27.10,21.40
44,22.185,-39.925,284596.468,4777237.991,interno,28.50,39.90,34.20,38.50,35.20,33.20,31.90,34.90,36.10,33.10,32.80,36.10,22.10,21.30
45,13.120,-41.072,284601.656,4777230.470,interno,33.20,39.20,37.30,30.50,40.70,29.20,31.30,28.50,27.60,26.50,32.00,35.90,21.30,15.10
46,3.253,-42.219,284607.213,4777222.236,interno,25.20,38.40,30.70,29.60,36.90,27.30,29.70,29.90,27.90,32.10,28.30,33.90,16.20,17.10
47,-5.468,-42.334,284611.326,4777214.546,interno,35.00,38.70,33.50,31.80,29.90,35.30,33.50,25.50,29.20,29.10,27.20,34.30,28.50,16.70
48,-14.533,-41.760,284614.985,4777206.233,interno,29.90,38.10,32.10,30.80,38.20,26.40,32.20,26.70,28.30,33.50,28.50,36.00,26.10,21.60
49,-23.827,-40.154,284617.834,4777197.242,interno,29.00,35.10,28.30,29.60,33.40,30.50,27.20,24.30,19.10,32.00,28.50,31.10,20.90,20.00
50,-32.432,-38.433,284620.263,4777188.809,interno,27.20,34.70,33.20,31.60,30.80,20.90,29.20,26.90,25.80,27.00,21.90,27.30,20.50,21.30
