"","timestampto","X.1","Id","X","daily_mean_SM","X.coord","Y.coord","sm_avg","sm_var","sm_sd","distinct_orders"
"112701","2011-12-28",118226,87,810,35.2271428571429,2523567.58,5596438.43,39.2739388167356,121.247248974128,11.0112328544141,144
"112702","2011-12-28",58749,43,1016,27.8368723404255,2523980.2,5596386.53,39.2739388167356,121.247248974128,11.0112328544141,144
"112703","2011-12-28",122233,90,832,46.6361290322581,2523682.41,5596435.78,39.2739388167356,121.247248974128,11.0112328544141,144
"112704","2011-12-28",123572,91,810,59.9882828282828,2523703.92,5596456.17,39.2739388167356,121.247248974128,11.0112328544141,144
"112705","2011-12-28",124844,92,742,51.208125,2523742.95,5596416.7,39.2739388167356,121.247248974128,11.0112328544141,144
"112706","2011-12-28",6961,6,673,25.9012555555556,2523499.87,5596566.49,39.2739388167356,121.247248974128,11.0112328544141,144
"112707","2011-12-28",119646,88,892,35.7493684210526,2523643.77,5596442.89,39.2739388167356,121.247248974128,11.0112328544141,144
"112708","2011-12-28",116959,86,913,44.6702083333333,2523553.59,5596427.82,39.2739388167356,121.247248974128,11.0112328544141,144
"112709","2011-12-28",115517,85,897,40.0589010989011,2523458.82,5596449.16,39.2739388167356,121.247248974128,11.0112328544141,144
"112710","2011-12-28",3821,3,792,56.1065,2523677.33,5596624.53,39.2739388167356,121.247248974128,11.0112328544141,144
"112711","2011-12-28",5219,4,972,36.1693,2523379.85,5596565.82,39.2739388167356,121.247248974128,11.0112328544141,144
"112712","2011-12-28",120921,89,879,49.8201041666667,2523661.08,5596400.14,39.2739388167356,121.247248974128,11.0112328544141,144
"112713","2011-12-28",9896,8,972,42.928390625,2523618.67,5596567.16,39.2739388167356,121.247248974128,11.0112328544141,144
"112714","2011-12-28",14277,11,1018,38.0071134020619,2523800.82,5596565.97,39.2739388167356,121.247248974128,11.0112328544141,144
"112715","2011-12-28",176823,133,791,50.2390034883721,2523866.48,5596265.73,39.2739388167356,121.247248974128,11.0112328544141,144
"112716","2011-12-28",8423,7,1031,55.2410526315789,2523559.91,5596566.53,39.2739388167356,121.247248974128,11.0112328544141,144
"112717","2011-12-28",126234,93,897,29.8127777777778,2523766.18,5596434.64,39.2739388167356,121.247248974128,11.0112328544141,144
"112718","2011-12-28",57216,42,1014,32.0153888888889,2523919.49,5596384.78,39.2739388167356,121.247248974128,11.0112328544141,144
"112719","2011-12-28",111569,82,892,35.1276530612245,2523322.56,5596401.98,39.2739388167356,121.247248974128,11.0112328544141,144
"112720","2011-12-28",1001,1,1001,33.936,2523558.66,5596625.39,39.2739388167356,121.247248974128,11.0112328544141,144
"112721","2011-12-28",114123,84,926,44.7922826086957,2523434.52,5596415.28,39.2739388167356,121.247248974128,11.0112328544141,144
"112722","2011-12-28",166921,124,914,34.7583333333333,2523625.18,5596260.84,39.2739388167356,121.247248974128,11.0112328544141,144
"112723","2011-12-28",12772,10,876,16.7713383838384,2523739.81,5596567.17,39.2739388167356,121.247248974128,11.0112328544141,144
"112724","2011-12-28",173966,129,895,50.2990824742268,2523748.93,5596285.73,39.2739388167356,121.247248974128,11.0112328544141,144
"112725","2011-12-28",5897,5,149,33.6438080808081,2523439.54,5596563.97,39.2739388167356,121.247248974128,11.0112328544141,144
"112726","2011-12-28",66358,48,1003,27.52875,2523683.56,5596327.95,39.2739388167356,121.247248974128,11.0112328544141,144
"112727","2011-12-28",127631,94,870,34.840752688172,2523839.12,5596431.06,39.2739388167356,121.247248974128,11.0112328544141,144
"112728","2011-12-28",67849,49,1011,34.4648936170213,2523737.08,5596324.84,39.2739388167356,121.247248974128,11.0112328544141,144
"112729","2011-12-28",174506,130,30,23.0741376237624,2523806.31,5596316.18,39.2739388167356,121.247248974128,11.0112328544141,144
"112730","2011-12-28",112680,83,926,33.2077894736842,2523326.52,5596412.59,39.2739388167356,121.247248974128,11.0112328544141,144
"112731","2011-12-28",54324,40,972,26.0165957446809,2523800.66,5596385.82,39.2739388167356,121.247248974128,11.0112328544141,144
"112732","2011-12-28",15574,12,842,36.0166666666667,2523379.32,5596505.44,39.2739388167356,121.247248974128,11.0112328544141,144
"112733","2011-12-28",17131,13,1028,37.9915692307692,2523440.41,5596504.24,39.2739388167356,121.247248974128,11.0112328544141,144
"112734","2011-12-28",162745,121,905,31.411183908046,2523483.46,5596301.56,39.2739388167356,121.247248974128,11.0112328544141,144
"112735","2011-12-28",164116,122,885,30.8708510638298,2523559.48,5596270.59,39.2739388167356,121.247248974128,11.0112328544141,144
"112736","2011-12-28",168290,125,904,39.0422580645161,2523633.03,5596320.24,39.2739388167356,121.247248974128,11.0112328544141,144
"112737","2011-12-28",171134,127,911,42.6208421052632,2523706.79,5596295.1,39.2739388167356,121.247248974128,11.0112328544141,144
"112738","2011-12-28",172538,128,881,51.6112626262626,2523693.64,5596327.73,39.2739388167356,121.247248974128,11.0112328544141,144
"112739","2011-12-28",64903,47,1037,28.6933229166667,2523620.93,5596327.49,39.2739388167356,121.247248974128,11.0112328544141,144
"112740","2011-12-28",175498,132,833,58.2176666666667,2523866.3,5596284.03,39.2739388167356,121.247248974128,11.0112328544141,144
"112741","2011-12-28",28736,21,994,53.4258947368421,2523861.15,5596358.46,39.2739388167356,121.247248974128,11.0112328544141,144
"112742","2011-12-28",69387,50,1010,55.4815,2523799.09,5596321.83,39.2739388167356,121.247248974128,11.0112328544141,144
"112743","2011-12-28",70332,51,886,32.2651041666667,2523448.94,5596602.51,39.2739388167356,121.247248974128,11.0112328544141,144
