"","timestampto","X.1","Id","X","daily_mean_SM","X.coord","Y.coord","sm_avg","sm_var","sm_sd","distinct_orders"
"63862",2010-11-13,173345,131,474,70.6876,2523799.25,5596280.89,51.2616869529642,62.6625867906001,7.9159703631709,138
"63863",2010-11-13,11971,10,570,52.8853633663366,2523739.81,5596567.17,51.2616869529642,62.6625867906001,7.9159703631709,138
"63864",2010-11-13,35673,27,575,66.8183157894737,2523678.77,5596444.5,51.2616869529642,62.6625867906001,7.9159703631709,138
"63865",2010-11-13,159888,120,510,49.4844897959184,2524096.01,5596323.28,51.2616869529642,62.6625867906001,7.9159703631709,138
"63866",2010-11-13,184287,139,486,51.6186,2524050.69,5596306.12,51.2616869529642,62.6625867906001,7.9159703631709,138
"63867",2010-11-13,106200,78,485,49.2973195876289,2523784.37,5596497.63,51.2616869529642,62.6625867906001,7.9159703631709,138
"63868",2010-11-13,166666,125,503,44.5355434782609,2523633.03,5596320.24,51.2616869529642,62.6625867906001,7.9159703631709,138
"63869",2010-11-13,168072,126,501,32.1237362637363,2523694.61,5596256.63,51.2616869529642,62.6625867906001,7.9159703631709,138
"63870",2010-11-13,124512,92,476,51.9727,2523742.95,5596416.7,51.2616869529642,62.6625867906001,7.9159703631709,138
"63871",2010-11-13,198751,150,447,42.3554639175258,2523698.5,5596260.55,51.2616869529642,62.6625867906001,7.9159703631709,138
"63872",2010-11-13,74786,54,405,52.0390909090909,2523570.91,5596589.58,51.2616869529642,62.6625867906001,7.9159703631709,138
"63873",2010-11-13,140972,104,459,48.9307547169811,2523477.1,5596371.85,51.2616869529642,62.6625867906001,7.9159703631709,138
"63874",2010-11-13,72176,52,521,44.8130188679245,2523495.37,5596583.74,51.2616869529642,62.6625867906001,7.9159703631709,138
"63875",2010-11-13,10483,9,602,70.3531730769231,2523679.35,5596564.91,51.2616869529642,62.6625867906001,7.9159703631709,138
"63876",2010-11-13,34185,26,622,49.2889690721649,2523619.16,5596446.63,51.2616869529642,62.6625867906001,7.9159703631709,138
"63877",2010-11-13,49925,37,623,39.6160638297872,2523616.64,5596385.73,51.2616869529642,62.6625867906001,7.9159703631709,138
"63878",2010-11-13,158537,119,437,55.3216666666667,2524099.38,5596365.77,51.2616869529642,62.6625867906001,7.9159703631709,138
"63879",2010-11-13,161316,121,500,41.4286276595745,2523483.46,5596301.56,51.2616869529642,62.6625867906001,7.9159703631709,138
"63880",2010-11-13,40164,30,575,54.3357575757576,2523859.07,5596446.58,51.2616869529642,62.6625867906001,7.9159703631709,138
"63881",2010-11-13,165293,124,509,43.8592783505155,2523625.18,5596260.84,51.2616869529642,62.6625867906001,7.9159703631709,138
"63882",2010-11-13,163850,123,468,46.8038144329897,2523618.31,5596263.95,51.2616869529642,62.6625867906001,7.9159703631709,138
"63883",2010-11-13,94020,69,485,42.3135298076923,2523323.38,5596480.73,51.2616869529642,62.6625867906001,7.9159703631709,138
"63884",2010-11-13,73493,53,400,40.735612244898,2523554.73,5596609.85,51.2616869529642,62.6625867906001,7.9159703631709,138
"63885",2010-11-13,139622,103,512,50.703,2523455.93,5596332.62,51.2616869529642,62.6625867906001,7.9159703631709,138
"63886",2010-11-13,196125,148,492,53.6165635416667,2523876.3,5596213.96,51.2616869529642,62.6625867906001,7.9159703631709,138
"63887",2010-11-13,48385,36,619,49.0931914893617,2523560.93,5596387.35,51.2616869529642,62.6625867906001,7.9159703631709,138
"63888",2010-11-13,32653,25,644,40.2931182795699,2523561.67,5596446.13,51.2616869529642,62.6625867906001,7.9159703631709,138
"63889",2010-11-13,182879,138,479,49.7011458333333,2524050.45,5596276.18,51.2616869529642,62.6625867906001,7.9159703631709,138
"63890",2010-11-13,97820,72,524,38.4428260869565,2523502.79,5596494.94,51.2616869529642,62.6625867906001,7.9159703631709,138
"63891",2010-11-13,52797,39,590,71.6565436893204,2523739.56,5596387.71,51.2616869529642,62.6625867906001,7.9159703631709,138
"63892",2010-11-13,6139,6,622,36.1579047619048,2523499.87,5596566.49,51.2616869529642,62.6625867906001,7.9159703631709,138
"63893",2010-11-13,102003,75,485,55.1685,2523672.76,5596463.62,51.2616869529642,62.6625867906001,7.9159703631709,138
"63894",2010-11-13,103409,76,506,53.8805050505051,2523705.75,5596508.25,51.2616869529642,62.6625867906001,7.9159703631709,138
"63895",2010-11-13,119176,88,488,47.0485,2523643.77,5596442.89,51.2616869529642,62.6625867906001,7.9159703631709,138
"63896",2010-11-13,178801,135,502,49.4414583333333,2523981.25,5596287.32,51.2616869529642,62.6625867906001,7.9159703631709,138
"63897",2010-11-13,92604,68,519,51.7797959183673,2523317.88,5596446.17,51.2616869529642,62.6625867906001,7.9159703631709,138
"63898",2010-11-13,31710,24,611,40.7202828282828,2523497.86,5596445.55,51.2616869529642,62.6625867906001,7.9159703631709,138
"63899",2010-11-13,180136,136,471,56.7461764705882,2523990.22,5596277.53,51.2616869529642,62.6625867906001,7.9159703631709,138
"63900",2010-11-13,134156,99,432,54.044947368421,2523309.37,5596369.71,51.2616869529642,62.6625867906001,7.9159703631709,138
"63901",2010-11-13,120483,89,507,54.9831313131313,2523661.08,5596400.14,51.2616869529642,62.6625867906001,7.9159703631709,138
"63902",2010-11-13,95227,70,522,37.6728,2523435.97,5596477.47,51.2616869529642,62.6625867906001,7.9159703631709,138
"63903",2010-11-13,162517,122,509,47.8266,2523559.48,5596270.59,51.2616869529642,62.6625867906001,7.9159703631709,138
"63904",2010-11-13,194718,147,509,56.1930927835052,2523936.36,5596237.75,51.2616869529642,62.6625867906001,7.9159703631709,138
"63905",2010-11-13,61782,45,600,55.4543434343434,2523913.9,5596359.63,51.2616869529642,62.6625867906001,7.9159703631709,138
"63906",2010-11-13,51480,38,632,55.6926530612245,2523680.29,5596385.12,51.2616869529642,62.6625867906001,7.9159703631709,138
"63907",2010-11-13,117750,87,400,42.0167708333333,2523567.58,5596438.43,51.2616869529642,62.6625867906001,7.9159703631709,138
"63908",2010-11-13,157244,118,510,61.8258673469388,2524042.94,5596340.99,51.2616869529642,62.6625867906001,7.9159703631709,138
"63909",2010-11-13,69356,50,610,67.9776923076923,2523799.09,5596321.83,51.2616869529642,62.6625867906001,7.9159703631709,138
"63910",2010-11-13,125907,93,493,52.259141025641,2523766.18,5596434.64,51.2616869529642,62.6625867906001,7.9159703631709,138
