"","timestampto","X.1","Id","X","daily_mean_SM","X.coord","Y.coord","sm_avg","sm_var","sm_sd","distinct_orders"
"136351",2012-10-02,49046,36,1280,38.2170114942529,2523560.93,5596387.35,35.9632130029329,146.640374173957,12.10951585217,132
"136352",2012-10-02,84314,61,891,45.8689247311828,2523543.05,5596549.45,35.9632130029329,146.640374173957,12.10951585217,132
"136353",2012-10-02,85774,62,1177,24.3470786516854,2523563.75,5596532.02,35.9632130029329,146.640374173957,12.10951585217,132
"136354",2012-10-02,108957,80,1110,24.7131958762887,2523810.88,5596493.99,35.9632130029329,146.640374173957,12.10951585217,132
"136355",2012-10-02,47562,35,1238,26.62,2523501.73,5596385.98,35.9632130029329,146.640374173957,12.10951585217,132
"136356",2012-10-02,74097,53,1004,31.455,2523554.73,5596609.85,35.9632130029329,146.640374173957,12.10951585217,132
"136357",2012-10-02,77873,56,1151,64.9962244897959,2523681.36,5596597.88,35.9632130029329,146.640374173957,12.10951585217,132
"136358",2012-10-02,79177,57,1021,46.1214285714286,2523733.57,5596595.07,35.9632130029329,146.640374173957,12.10951585217,132
"136359",2012-10-02,106838,78,1123,29.2380208333333,2523784.37,5596497.63,35.9632130029329,146.640374173957,12.10951585217,132
"136360",2012-10-02,83207,60,881,23.7789690721649,2523484.19,5596530.7,35.9632130029329,146.640374173957,12.10951585217,132
"136361",2012-10-02,44549,33,1025,28.7656043956044,2523375.29,5596385.91,35.9632130029329,146.640374173957,12.10951585217,132
"136362",2012-10-02,46055,34,1268,32.2491111111111,2523439.22,5596384.56,35.9632130029329,146.640374173957,12.10951585217,132
"136363",2012-10-02,90408,66,1167,29.5365934065934,2523747.59,5596528.78,35.9632130029329,146.640374173957,12.10951585217,132
"136364",2012-10-02,91802,67,1124,25.5017525773196,2523838.81,5596522.56,35.9632130029329,146.640374173957,12.10951585217,132
"136365",2012-10-02,93252,68,1167,32.2031632653061,2523317.88,5596446.17,35.9632130029329,146.640374173957,12.10951585217,132
"136366",2012-10-02,95879,70,1174,24.395,2523435.97,5596477.47,35.9632130029329,146.640374173957,12.10951585217,132
"136367",2012-10-02,97048,71,920,43.2526804123711,2523498.75,5596487.47,35.9632130029329,146.640374173957,12.10951585217,132
"136368",2012-10-02,80611,58,1152,26.7816326530612,2523781.57,5596572.26,35.9632130029329,146.640374173957,12.10951585217,132
"136369",2012-10-02,82071,59,1181,33.137,2523396,5596519.74,35.9632130029329,146.640374173957,12.10951585217,132
"136370",2012-10-02,21059,16,1286,30.9740860215054,2523619.1,5596506.42,35.9632130029329,146.640374173957,12.10951585217,132
"136371",2012-10-02,22597,17,1268,37.6787628865979,2523679.75,5596507.1,35.9632130029329,146.640374173957,12.10951585217,132
"136372",2012-10-02,24032,18,1157,30.7509782608696,2523739.51,5596506.17,35.9632130029329,146.640374173957,12.10951585217,132
"136373",2012-10-02,167318,125,1155,29.5974193548387,2523633.03,5596320.24,35.9632130029329,146.640374173957,12.10951585217,132
"136374",2012-10-02,50580,37,1278,25.9777227722772,2523616.64,5596385.73,35.9632130029329,146.640374173957,12.10951585217,132
"136375",2012-10-02,51937,38,1089,49.3011578947368,2523680.29,5596385.12,35.9632130029329,146.640374173957,12.10951585217,132
"136376",2012-10-02,112861,83,1174,22.51,2523326.52,5596412.59,35.9632130029329,146.640374173957,12.10951585217,132
"136377",2012-10-02,114271,84,1141,25.4553298969072,2523434.52,5596415.28,35.9632130029329,146.640374173957,12.10951585217,132
"136378",2012-10-02,53451,39,1244,71.547,2523739.56,5596387.71,35.9632130029329,146.640374173957,12.10951585217,132
"136379",2012-10-02,54919,40,1191,28.8832653061224,2523800.66,5596385.82,35.9632130029329,146.640374173957,12.10951585217,132
"136380",2012-10-02,56298,41,1097,29.8363265306122,2523857.02,5596385.07,35.9632130029329,146.640374173957,12.10951585217,132
"136381",2012-10-02,57833,42,1262,25.7275,2523919.49,5596384.78,35.9632130029329,146.640374173957,12.10951585217,132
"136382",2012-10-02,59369,43,1267,33.6272916666667,2523980.2,5596386.53,35.9632130029329,146.640374173957,12.10951585217,132
"136383",2012-10-02,102648,75,1130,52.1156140350877,2523672.76,5596463.62,35.9632130029329,146.640374173957,12.10951585217,132
"136384",2012-10-02,104058,76,1155,40.2476595744681,2523705.75,5596508.25,35.9632130029329,146.640374173957,12.10951585217,132
"136385",2012-10-02,105494,77,1157,53.13,2523718.6,5596447.06,35.9632130029329,146.640374173957,12.10951585217,132
"136386",2012-10-02,25265,19,1224,26.3848,2523799.95,5596505.11,35.9632130029329,146.640374173957,12.10951585217,132
"136387",2012-10-02,87548,64,1078,25.6797959183673,2523689.13,5596505.89,35.9632130029329,146.640374173957,12.10951585217,132
"136388",2012-10-02,88958,65,1132,32.9333958333333,2523694.54,5596556.42,35.9632130029329,146.640374173957,12.10951585217,132
"136389",2012-10-02,69980,50,1234,65.2194736842105,2523799.09,5596321.83,35.9632130029329,146.640374173957,12.10951585217,132
"136390",2012-10-02,71399,51,1136,43.5424210526316,2523448.94,5596602.51,35.9632130029329,146.640374173957,12.10951585217,132
"136391",2012-10-02,72814,52,1159,24.9241237113402,2523495.37,5596583.74,35.9632130029329,146.640374173957,12.10951585217,132
"136392",2012-10-02,134767,99,1043,25.80625,2523309.37,5596369.71,35.9632130029329,146.640374173957,12.10951585217,132
"136393",2012-10-02,75416,54,1035,43.0751041666667,2523570.91,5596589.58,35.9632130029329,146.640374173957,12.10951585217,132
"136394",2012-10-02,76464,55,764,65.5361726315789,2523669.71,5596611.94,35.9632130029329,146.640374173957,12.10951585217,132
