"","timestampto","X.1","Id","X","daily_mean_SM","X.coord","Y.coord","sm_avg","sm_var","sm_sd","distinct_orders"
"89954",2011-05-30,134354,99,630,22.9809677419355,2523309.37,5596369.71,30.9425104876914,113.905767102345,10.6726644799856,137
"89955",2011-05-30,135740,100,689,43.1071,2523336.78,5596378.29,30.9425104876914,113.905767102345,10.6726644799856,137
"89956",2011-05-30,14410,12,630,27.5021276595745,2523379.32,5596505.44,30.9425104876914,113.905767102345,10.6726644799856,137
"89957",2011-05-30,13113,11,806,27.5396153846154,2523800.82,5596565.97,30.9425104876914,113.905767102345,10.6726644799856,137
"89958",2011-05-30,12169,10,768,30.264442,2523739.81,5596567.17,30.9425104876914,113.905767102345,10.6726644799856,137
"89959",2011-05-30,10675,9,794,69.6505660377358,2523679.35,5596564.91,30.9425104876914,113.905767102345,10.6726644799856,137
"89960",2011-05-30,133094,98,675,27.0435531914894,2524091.17,5596379.07,30.9425104876914,113.905767102345,10.6726644799856,137
"89961",2011-05-30,131698,97,692,39.0743434343434,2524024.56,5596403.9,30.9425104876914,113.905767102345,10.6726644799856,137
"89962",2011-05-30,166855,125,692,26.6848979591837,2523633.03,5596320.24,30.9425104876914,113.905767102345,10.6726644799856,137
"89963",2011-05-30,126100,93,686,25.134175257732,2523766.18,5596434.64,30.9425104876914,113.905767102345,10.6726644799856,137
"89964",2011-05-30,9226,8,763,39.1684414141414,2523618.67,5596567.16,30.9425104876914,113.905767102345,10.6726644799856,137
"89965",2011-05-30,130284,96,681,25.5244680851064,2523956.23,5596427.97,30.9425104876914,113.905767102345,10.6726644799856,137
"89966",2011-05-30,103595,76,692,37.6099019607843,2523705.75,5596508.25,30.9425104876914,113.905767102345,10.6726644799856,137
"89967",2011-05-30,128868,95,651,32.5286138613861,2523877.45,5596430.49,30.9425104876914,113.905767102345,10.6726644799856,137
"89968",2011-05-30,44086,33,562,26.6714285714286,2523375.29,5596385.91,30.9425104876914,113.905767102345,10.6726644799856,137
"89969",2011-05-30,169699,127,699,28.6190909090909,2523706.79,5596295.1,30.9425104876914,113.905767102345,10.6726644799856,137
"89970",2011-05-30,190656,144,700,33.9884,2523747.84,5596204.56,30.9425104876914,113.905767102345,10.6726644799856,137
"89971",2011-05-30,47150,35,826,27.9536734693878,2523501.73,5596385.98,30.9425104876914,113.905767102345,10.6726644799856,137
"89972",2011-05-30,165487,124,703,22.45625,2523625.18,5596260.84,30.9425104876914,113.905767102345,10.6726644799856,137
"89973",2011-05-30,7752,7,821,21.3229591836735,2523559.91,5596566.53,30.9425104876914,113.905767102345,10.6726644799856,137
"89974",2011-05-30,109886,81,651,30.2443,2523859.2,5596490.99,30.9425104876914,113.905767102345,10.6726644799856,137
"89975",2011-05-30,127496,94,658,26.3224,2523839.12,5596431.06,30.9425104876914,113.905767102345,10.6726644799856,137
"89976",2011-05-30,192079,145,684,35.4765306122449,2523795.7,5596238.7,30.9425104876914,113.905767102345,10.6726644799856,137
"89977",2011-05-30,124709,92,673,29.6737113402062,2523742.95,5596416.7,30.9425104876914,113.905767102345,10.6726644799856,137
"89978",2011-05-30,188027,142,701,31.5392708333333,2523692.92,5596212.57,30.9425104876914,113.905767102345,10.6726644799856,137
"89979",2011-05-30,40330,30,741,34.9509090909091,2523859.07,5596446.58,30.9425104876914,113.905767102345,10.6726644799856,137
"89980",2011-05-30,105046,77,709,48.7279166666667,2523718.6,5596447.06,30.9425104876914,113.905767102345,10.6726644799856,137
"89981",2011-05-30,189255,143,703,30.3239772727273,2523705.54,5596226.85,30.9425104876914,113.905767102345,10.6726644799856,137
"89982",2011-05-30,38878,29,795,39.1841584158416,2523799.4,5596448.26,30.9425104876914,113.905767102345,10.6726644799856,137
"89983",2011-05-30,111294,82,684,25.4738709677419,2523322.56,5596401.98,30.9425104876914,113.905767102345,10.6726644799856,137
"89984",2011-05-30,66515,48,791,25.1937755102041,2523683.56,5596327.95,30.9425104876914,113.905767102345,10.6726644799856,137
"89985",2011-05-30,120643,89,667,40.4738,2523661.08,5596400.14,30.9425104876914,113.905767102345,10.6726644799856,137
"89986",2011-05-30,15968,13,817,24.1661680851064,2523440.41,5596504.24,30.9425104876914,113.905767102345,10.6726644799856,137
"89987",2011-05-30,123300,91,604,47.0271134020619,2523703.92,5596456.17,30.9425104876914,113.905767102345,10.6726644799856,137
"89988",2011-05-30,106395,78,680,27.7895744680851,2523784.37,5596497.63,30.9425104876914,113.905767102345,10.6726644799856,137
"89989",2011-05-30,168260,126,689,21.3063043478261,2523694.61,5596256.63,30.9425104876914,113.905767102345,10.6726644799856,137
"89990",2011-05-30,164048,123,666,23.4407368421053,2523618.31,5596263.95,30.9425104876914,113.905767102345,10.6726644799856,137
"89991",2011-05-30,69548,50,802,60.8902803738318,2523799.09,5596321.83,30.9425104876914,113.905767102345,10.6726644799856,137
"89992",2011-05-30,4569,4,760,27.3988,2523379.85,5596565.82,30.9425104876914,113.905767102345,10.6726644799856,137
"89993",2011-05-30,137094,101,650,24.2545,2523370.2,5596331.05,30.9425104876914,113.905767102345,10.6726644799856,137
"89994",2011-05-30,45601,34,814,26.2027835051546,2523439.22,5596384.56,30.9425104876914,113.905767102345,10.6726644799856,137
"89995",2011-05-30,138460,102,636,23.3713612244898,2523439.55,5596368.09,30.9425104876914,113.905767102345,10.6726644799856,137
"89996",2011-05-30,108526,80,679,22.9690721649485,2523810.88,5596493.99,30.9425104876914,113.905767102345,10.6726644799856,137
